d,q,e,g
400,797,1,4
401,797,1,6
402,797,1,8
403,797,1,10
404,809,1,0
405,811,1,0
406,811,1,2
407,811,1,4
408,811,1,6
409,811,1,8
410,821,1,0
411,823,1,0
412,823,1,2
413,827,1,0
414,829,1,0
415,829,1,2
416,829,1,4
417,829,1,6
418,829,1,8
419,839,1,0
420,839,1,2
421,839,1,4
422,839,1,6
423,839,1,8
424,839,1,10
425,839,1,12
426,853,1,0
427,853,1,2
428,857,1,0
429,859,1,0
430,859,1,2
431,863,1,0
432,863,1,2
433,863,1,4
434,863,1,6
435,863,1,8
436,859,1,14
437,863,1,12
438,877,1,0
439,877,1,2
440,881,1,0
441,883,1,0
442,883,1,2
443,887,1,0
444,887,1,2
445,887,1,4
446,887,1,6
447,887,1,8
448,887,1,10
449,887,1,12
450,887,1,14
451,887,1,16
452,887,1,18
453,907,1,0
454,907,1,2
455,911,1,0
456,911,1,2
457,911,1,4
458,911,1,6
459,919,1,0
460,919,1,2
461,919,1,4
462,919,1,6
463,919,1,8
464,929,1,0
465,929,1,2
466,929,1,4
467,929,1,6
468,937,1,0
469,937,1,2
470,941,1,0
471,941,1,2
472,941,1,4
473,947,1,0
474,947,1,2
475,947,1,4
476,953,1,0
477,953,1,2
478,953,1,4
479,953,1,6
480,953,1,8
481,953,1,10
482,953,1,12
483,967,1,0
484,967,1,2
485,971,1,0
486,971,1,2
487,971,1,4
488,977,1,0
489,977,1,2
490,977,1,4
491,983,1,0
492,983,1,2
493,983,1,4
494,983,1,6
495,991,1,0
496,991,1,2
497,991,1,4
498,997,1,0
499,997,1,2
500,997,1,4
501,997,1,6
502,997,1,8
503,997,1,10
504,1009,1,0
505,1009,1,2
506,1013,1,0
507,1013,1,2
508,1013,1,4
509,1019,1,0
510,1021,1,0
511,1021,1,2
512,1021,1,4
513,1021,1,6
514,1021,1,8
515,1031,1,0
516,1033,1,0
517,1033,1,2
518,1033,1,4
519,1039,1,0
520,1039,1,2
521,1039,1,4
522,1039,1,6
523,1039,1,8
524,1049,1,0
525,1051,1,0
526,1051,1,2
527,1051,1,4
528,1051,1,6
529,1051,1,8
530,1061,1,0
531,1063,1,0
532,1063,1,2
533,1063,1,4
534,1069,1,0
535,1069,1,2
536,1069,1,4
537,1069,1,6
538,1069,1,8
539,1069,1,10
540,1069,1,12
541,1069,1,14
542,1069,1,16
543,1087,1,0
544,1087,1,2
545,1091,1,0
546,1093,1,0
547,1093,1,2
548,1097,1,0
549,1097,1,2
550,1097,1,4
551,1103,1,0
552,1103,1,2
553,1103,1,4
554,1109,1,0
555,1109,1,2
556,1109,1,4
557,1109,1,6
558,1117,1,0
559,1117,1,2
560,1117,1,4
561,1123,1,0
562,1123,1,2
563,1123,1,4
564,1129,1,0
565,1129,1,2
566,1129,1,4
567,1129,1,6
568,1129,1,8
569,1123,1,16
570,1129,1,12
571,1129,1,14
572,1129,1,16
